uid,anime_uid,score
213006,20057,7
184589,20057,10
169531,20057,8
154435,20057,8
305581,20057,8
306440,20057,9
310030,20057,7
44995,3092,9
24013,3092,10
19508,3092,9
140941,3092,9
31049,3092,7
284944,35860,7
286824,35860,8
303034,35860,8
304190,35860,8
308917,35860,9
310170,35860,9
320837,35860,7
271501,35860,8
274173,35860,7
275162,35860,7
275175,35860,8
275220,35860,7
275269,35860,7
275353,35860,7
276204,35860,10
276439,35860,7
278560,35860,7
284813,28999,7
204903,28999,5
205503,28999,10
201648,28999,7
203230,28999,9
203291,28999,5
201611,28999,7
205900,28999,9
238079,28999,3
316813,28999,4
277156,28999,7
200353,28999,7
200627,28999,5
205238,28999,10
263218,28999,3
299200,28999,8
301333,28999,7
202037,28999,7
205548,28999,8
200775,20057,10
164087,20057,7
211300,20057,9
209043,20057,9
321284,20057,9
321402,20057,8
322055,20057,10
203158,20057,8
212633,20057,10
296059,20057,7
299222,20057,9
302186,20057,7
146031,20057,8
197146,20057,6
160377,20057,10
234494,20057,7
138273,20057,9
191107,20057,8
140551,20057,8
63791,3092,9
17950,3092,10
237791,3092,9
7540,3092,10
226936,3092,8
6636,3092,10
48637,3092,9
42405,3092,7
46991,3092,7
146801,3092,8
7057,3092,10
15467,3092,9
257372,3092,8
269725,3092,6
278050,3092,10
211237,3092,9
226374,3092,4
214914,3092,7
68761,3092,10
287355,35860,8
296918,35860,7
271932,35860,8
275185,35860,7
275205,35860,6
275239,35860,10
275258,35860,9
275272,35860,8
275282,35860,9
275319,35860,10
311700,35860,8
275381,35860,8
275481,35860,6
275550,35860,8
275693,35860,8
278839,35860,10
318483,35860,6
321791,35860,6
324082,35860,4
270207,35860,8
213714,28999,1
248672,28999,8
291818,28999,8
204465,28999,10
200270,28999,3
201570,28999,8
201655,28999,4
199693,28999,4
200328,28999,4
305070,28999,8
199715,28999,4
204547,28999,8
220730,28999,3
204698,28999,8
201222,28999,1
199929,28999,3
199811,28999,4
200761,28999,3
199786,28999,5
276562,37033,9
298857,37033,5
307187,37033,8
313133,37033,9
316763,37033,9
207485,1172,8
19788,1172,10
6140,1172,8
23047,1172,8
189937,20057,8
300611,20057,8
140419,20057,7
177509,20057,9
311575,20057,3
212261,20057,9
155149,20057,10
137863,20057,8
306193,20057,5
188551,20057,6
227594,20057,6
150375,20057,7
137897,20057,8
137835,20057,8
137531,20057,8
137917,20057,7
133677,20057,2
137205,20057,9
188466,20057,4
137871,20057,7
143449,3092,7
203128,3092,10
182291,3092,9
210196,3092,6
51119,3092,6
38325,3092,10
9805,3092,10
294865,3092,8
6756,3092,9
17666,3092,10
229973,3092,6
25747,3092,7
204888,3092,7
34279,3092,10
185414,3092,8
207829,3092,1
33539,3092,6
284166,3092,5
250676,3092,4
186800,3092,9
313218,37985,9
310649,37985,9
310636,37985,9
310422,37985,9
310421,37985,9
310423,37985,8
310431,37985,6
271479,35860,6
275040,35860,6
275154,35860,7
275207,35860,8
275229,35860,9
301933,35860,9
279155,35860,7
281541,35860,7
285957,35860,4
272231,35860,9
275177,35860,5
275204,35860,4
275301,35860,10
325310,35860,2
295900,35860,5
273771,35860,8
275383,35860,8
277878,35860,6
316870,35860,5
324403,35860,2
7251,388,9
321695,388,10
3001,388,7
240101,388,9
187908,388,9
2050,388,9
4994,388,8
248104,28999,2
292969,28999,10
203481,28999,5
204677,28999,3
200079,28999,1
199678,28999,6
205061,28999,9
199679,28999,7
204442,28999,1
205586,28999,3
200462,28999,10
199663,28999,5
204087,28999,10
199760,28999,9
199820,28999,10
199098,28999,3
199713,28999,3
199708,28999,3
205137,28999,8
199735,28999,3
298091,37033,8
299640,37033,10
301888,37033,8
303452,37033,8
276769,37033,9
313068,37033,9
316170,37033,8
316446,37033,7
317496,37033,7
273213,37033,10
